produit,quantite,prix_unitaire,prix_total,categorie,date,enseigne,fichier,nom_simplifié
FROMAGE BLANC NATURE 3%MG 1KG,1.0,1.92,1.92,ULTRAS FRAIS,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Fromage blanc
"PETITS FROMAGE BLANC NAT3,8% 1",1.0,1.62,1.62,ULTRAS FRAIS,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Fromage blanc
OEUFS BIOLOGIQUES X10 MR,1.0,3.41,3.41,ULTRAS FRAIS,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Œufs x10
* TRANCHE DE FETA 150G,1.0,1.84,1.84,CREMERIE LIBRE SERVICE,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Feta
MOZZARELLA GALBANI 125G,2.0,1.03,2.06,CREMERIE LIBRE SERVICE,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Mozzarella
SAC CABAS JUTE BLEU V4,1.0,1.9,1.9,SAC CAISSE E.LECLERC,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Sac cabas
OLIVES NOIRES CONFITES DENOYAUT,1.0,1.77,1.77,EPICERIE,2025-07-12,Leclerc,E.Leclerc - Ticket du 12.07.2025.pdf,Olives noires
CHIPS LA GOURMANDE VICO 120G,1.0,1.34,1.34,EPICERIE,2025-07-12,Leclerc,E.Leclerc - Ticket du 12.07.2025.pdf,Chips / snacks
PUR JUS POMME BRETAGNE 1L NRT,1.0,2.52,2.52,LIQUIDE,2025-07-12,Leclerc,E.Leclerc - Ticket du 12.07.2025.pdf,Jus de pomme
GINGER BEER 33CL,3.0,1.5,4.5,LIQUIDE,2025-07-12,Leclerc,E.Leclerc - Ticket du 12.07.2025.pdf,Ginger beer
"SHP AVOCAT KARITE,U.DOUX,300ML",1.0,2.44,2.44,PARFUMERIE,2025-07-12,Leclerc,E.Leclerc - Ticket du 12.07.2025.pdf,Avocat
POMME DE TERRE DE CONSOMMATION,1.628,1.99,3.24,FRUITS ET LEGUMES,2025-07-12,Leclerc,E.Leclerc - Ticket du 12.07.2025.pdf,Pomme de terre
PECHE JAUNE,1.062,4.99,5.3,FRUITS ET LEGUMES,2025-07-12,Leclerc,E.Leclerc - Ticket du 12.07.2025.pdf,Pêche jaune
CONCOMBRE,2.0,1.49,2.98,FRUITS ET LEGUMES,2025-07-12,Leclerc,E.Leclerc - Ticket du 12.07.2025.pdf,Concombre
ANCHOIS A LA CREME D'AIL 200G,1.0,3.65,3.65,SAURISSERIE,2025-07-12,Leclerc,E.Leclerc - Ticket du 12.07.2025.pdf,Anchois
MAG DBL NOISETTE 4X85ML,1.0,4.69,4.69,SURGELES,2025-07-12,Leclerc,E.Leclerc - Ticket du 12.07.2025.pdf,Magnum double noisette
BTE BUGSY TERRE CUITE + 10 SPIR,1.0,5.99,5.99,MENAGE,2025-07-12,Leclerc,E.Leclerc - Ticket du 12.07.2025.pdf,BTE BUGSY TERRE CUITE + 10 SPIR
PROTEINES DE SOJA UAD,0.264,15.99,4.22,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Protéines de soja
SARDINE HLE OLIV.HYACINTHE232G,2.0,3.18,6.36,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Sardines (boîte)
GRANDES TRANCHES SSA COMPLET 82,1.0,2.44,2.44,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Pain de mie complet
CANNELLE MOULUE DUCROS FL 39G,2.0,1.16,2.32,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Cannelle
GINGEMBRE,1.0,1.58,1.58,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Gingembre
CURCUMA MOULU,1.0,2.15,2.15,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Curcuma
GERBLE GERME DE BLE SELECTIONN,1.0,1.84,1.84,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Germe de blé
HACHE VEGETAL BOLOGN.SOJA BIO,3.0,2.46,7.38,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Steak haché végétal
LAIT AMANDE CALCIUM BJORG 1L,1.0,2.27,2.27,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Lait d'amande
AVOINE SANS SUCRES 1L,1.0,2.27,2.27,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Lait d'avoine
EMINCE VEGGIE,2.0,3.05,6.1,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Émincés végétaux
PUREE DE SESAME TAHIN,1.0,6.78,6.78,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Tahini
JB SAUCE TAMARI BIO* 140ML,1.0,3.41,3.41,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Sauce tamari
GRD SSA PARF VARIES 20X90G BV,1.0,6.09,6.09,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,GRD SSA PARF VARIES 20X90G BV
NOUILLES DE RIZ SACHET 250G,1.0,1.99,1.99,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Nouilles de riz
LENTILLES CORAIL 500G N.JARDIN,1.0,1.72,1.72,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Lentilles corail
GRAINES DE SESAME BIO 200G BV,1.0,1.99,1.99,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Graines de sésame
QUINOA GOURMAND TIPIAK 400G,1.0,2.43,2.43,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Quinoa
COUSCOUS PARF.EPICE TIPIAK 510G,1.0,1.95,1.95,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Couscous
LAIT DE COCO LIGHT BRIQUE 200M,1.0,1.35,1.35,EPICERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Lait de coco
SANPELLEGRINO CLEMENTINE/PECHE,1.0,3.64,3.64,LIQUIDE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Pêche
SANPELLEGRINO MOMENTI GRENADE 6,1.0,3.62,3.62,LIQUIDE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,San Pellegrino
S PELLEGRINO MOM THE CITRON 6X3,1.0,3.64,3.64,LIQUIDE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Citron
* 2 FLEX & WASH,1.0,3.98,3.98,DROGUERIE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,* 2 FLEX & WASH
PH BLANC X 6 3PLIS UNIVERT,1.0,2.34,2.34,HYGIENE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Papier toilette
ESSUIE TOUT 2PLIS X2 2=4,1.0,2.72,2.72,HYGIENE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Essuie-tout
BTE MOUCHOIRS X 80 3 PLIS,2.0,1.26,2.52,HYGIENE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Mouchoirs
CITRON JAUNE,0.126,3.95,0.5,FRUITS ET LEGUMES,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Citron
HOUMOUS GRAINES DE SESAME 175G,2.0,2.89,5.78,FRUITS ET LEGUMES,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Houmous
BANANE SACHET X 5,1.0,1.69,1.69,FRUITS ET LEGUMES,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Banane
AVOCAT,4.0,1.39,5.56,FRUITS ET LEGUMES,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Avocat
CONCOMBRE,1.0,1.49,1.49,FRUITS ET LEGUMES,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Concombre
12 OEUFS PLEIN AIR LNA,2.0,3.62,7.24,ULTRAS FRAIS,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,Œufs x12
COUVRE ASSIETTE PP TRANSPARENT,1.0,2.79,2.79,MENAGE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,COUVRE ASSIETTE PP TRANSPARENT
MULE PLATE M7P26AS370 39 GRIS/M,1.0,8.95,8.95,CHAUSSURE,2025-10-13,Leclerc,E.Leclerc - Ticket du 13.10.2025.pdf,MULE PLATE M7P26AS370 39 GRIS/M
SARDINE HLE OLIV.HYACINTHE232G,3.0,3.14,9.42,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Sardines (boîte)
FLTS MQX SCE TOMATE SSA PN 169G,1.0,1.75,1.75,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Filets de maquereaux sauce tomate
HACHE VEGETAL BOLOGN.SOJA BIO,1.0,2.46,2.46,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Steak haché végétal
TOFU NATURE BJORG,4.0,2.64,10.56,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Tofu
EMINCE VEGGIE SAUCE MEXICAINE,1.0,3.16,3.16,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Émincés végétaux
MA PREPARATION VEGGIE BIO,2.0,2.27,4.54,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Préparation veggie
PUREE DE SESAME TAHIN,1.0,6.78,6.78,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Tahini
EBLY BLE NAT 10MN 500G,1.0,1.82,1.82,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Blé
BRETS ARO PESTO MOZZARELLA,1.0,1.45,1.45,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Mozzarella
FILET MAQUERX AROMAT MUSCADET,1.0,1.45,1.45,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Maquereau (boîte)
CHOC NOIR 85%CACAO 100G T.D OR,2.0,1.53,3.06,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Chocolat noir 85%
MAQU MOUTARD ANC 169G P.OCEAN,1.0,1.67,1.67,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Maquereau (boîte)
FILETS MAQX VIN BLC CITR ROM,1.0,1.85,1.85,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Maquereau (boîte)
GRD SSA PARF VARIES 20X90G BV,1.0,6.09,6.09,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,GRD SSA PARF VARIES 20X90G BV
30 CAPSUL ALU RISTRETTO MR,1.0,5.19,5.19,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Capsules café
PREP CULINAIRE SOJA BIO 3X200M,1.0,1.61,1.61,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Crème végétale (cuisine)
JB SIROP D'AGAVE BIO 50CL,1.0,6.45,6.45,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Sirop d'agave
BEURRE CACAHUETES CRUNCHY BIO,1.0,3.84,3.84,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Beurre de cacahuètes
LAIT DE COCO ALLEGE SW 200ML,3.0,1.62,4.86,EPICERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Lait de coco
"CRISTALINE 1,5L X 6",1.0,1.11,1.11,LIQUIDE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Eau plate x6
SANPELLEGRINO CITRON-FRAMBOISE,1.0,3.6,3.6,LIQUIDE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Citron
EPONGES GRAT MULTI-USAGE X6,1.0,1.75,1.75,DROGUERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Éponges
* PH BLANC X 6 3PLIS UNIVERT,1.0,2.35,2.35,HYGIENE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Papier toilette
* BANANE SACHET X 5,1.0,1.69,1.69,FRUITS ET LEGUMES,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Banane
* AVOCAT,5.0,1.39,6.95,FRUITS ET LEGUMES,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Avocat
GALETTES EPIN FROM2X100G N&VIE,1.0,1.99,1.99,TRAITEUR LIBRE SERVICE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Galettes épinard-fromage
EMINCES 100% VEGET.160G ACCRO,2.0,2.23,4.46,TRAITEUR LIBRE SERVICE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Émincés végétaux
STEAK GOURMAND POIVRE/PERSIL 16,1.0,2.6,2.6,TRAITEUR LIBRE SERVICE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Steak végétal
GG LE CLASSIQUE SOJA BLE X2 172,1.0,2.62,2.62,TRAITEUR LIBRE SERVICE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Steaks soja-blé
HOUMMOUS 200G TABLE DU MONDE,2.0,1.49,2.98,SAURISSERIE,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Houmous
COTTAGE CHEESE NATURE 180GX2,1.0,3.88,3.88,ULTRAS FRAIS,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Cottage cheese
PETIT YOPLAIT 3.8% X12,2.0,1.89,3.78,ULTRAS FRAIS,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Yaourt Yoplait x12
FROMAGE BLANC NATURE 3%MG 1KG,1.0,1.97,1.97,ULTRAS FRAIS,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Fromage blanc
12 OEUFS PLEIN AIR LNA,2.0,3.62,7.24,ULTRAS FRAIS,2026-01-14,Leclerc,E.Leclerc - Ticket du 14.01.2026.pdf,Œufs x12
ANANAS,1.0,2.14,2.14,,2025-09-14,Leclerc,E.Leclerc - Ticket du 14.09.2025.pdf,Ananas
ANANAS,1.0,2.48,2.48,,2025-09-14,Leclerc,E.Leclerc - Ticket du 14.09.2025.pdf,Ananas
ANANAS,1.0,2.68,2.68,,2025-09-14,Leclerc,E.Leclerc - Ticket du 14.09.2025.pdf,Ananas
ANANAS KIWI,1.0,2.47,2.47,,2025-09-14,Leclerc,E.Leclerc - Ticket du 14.09.2025.pdf,Ananas Kiwi (jus)
ANANAS KIWI,1.0,2.28,2.28,,2025-09-14,Leclerc,E.Leclerc - Ticket du 14.09.2025.pdf,Ananas Kiwi (jus)
PASTEQUE,1.0,1.61,1.61,,2025-09-14,Leclerc,E.Leclerc - Ticket du 14.09.2025.pdf,Pastèque
PASTEQUE,1.0,2.22,2.22,,2025-09-14,Leclerc,E.Leclerc - Ticket du 14.09.2025.pdf,Pastèque
PASTEQUE,1.0,1.92,1.92,,2025-09-14,Leclerc,E.Leclerc - Ticket du 14.09.2025.pdf,Pastèque
CANNELLE MOULUE DUCROS FL 39G,1.0,1.16,1.16,EPICERIE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Cannelle
MUSCADE MOULUE,1.0,1.95,1.95,EPICERIE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Muscade
10 CAPS ALU CAFE RISTRE 52G PL,1.0,2.24,2.24,EPICERIE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Capsules café
10 CAPS ALU BRESIL 52G PLANTA,1.0,2.39,2.39,EPICERIE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Capsules café
FLEUR DE SEL DE GUERANDE 1 125,1.0,2.58,2.58,EPICERIE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Fleur de sel
DOUBLE CONCENTRE TOMATE J.BIO,1.0,0.79,0.79,EPICERIE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Concentré de tomate
LAIT DE COCO KARA 200 ML,1.0,1.03,1.03,EPICERIE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Lait de coco
MOUCHOIRS ETUIS 15X9 CARESSE,1.0,1.16,1.16,HYGIENE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Mouchoirs
ABRICOT VRAC,0.254,3.19,0.81,FRUITS ET LEGUMES,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Abricot
CITRON JAUNE,0.262,3.95,1.03,FRUITS ET LEGUMES,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Citron
COURGETTE VERTE LONGUE,0.586,1.19,0.7,FRUITS ET LEGUMES,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Courgette
POIVRON ROUGE,0.728,4.99,3.63,FRUITS ET LEGUMES,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Poivron rouge
BANANE 4 DOIGTS ECO+,1.0,0.79,0.79,FRUITS ET LEGUMES,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Banane
AVOCAT,3.0,1.39,4.17,FRUITS ET LEGUMES,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Avocat
CONCOMBRE,1.0,1.49,1.49,FRUITS ET LEGUMES,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Concombre
COEUR DE SUCRINE *3 (0.95E),1.0,0.95,0.95,FRUITS ET LEGUMES,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Salade sucrine
TOFU FUME BIO 200G,1.0,2.98,2.98,TRAITEUR LIBRE SERVICE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Tofu
TIELLES SETOISES 2X110G,1.0,2.94,2.94,SAURISSERIE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Tielles sétoises
12 OEUFS PLEIN AIR LNA,1.0,3.65,3.65,ULTRAS FRAIS,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Œufs x12
SOJASUN TONYU NATURE 1 LITRE,1.0,1.52,1.52,CREMERIE LIBRE SERVICE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Boisson soja
PREPARATION SOJA 3X20CL DELISS,1.0,1.89,1.89,CREMERIE LIBRE SERVICE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,Crème végétale (cuisine)
COUTEAU CUISINE 17CM PRADEL,1.0,7.25,7.25,MENAGE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,COUTEAU CUISINE 17CM PRADEL
3 TAMPONS INOX,1.0,3.99,3.99,MENAGE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,3 TAMPONS INOX
SPATULE PATISSERIE MANCHE BOIS,1.0,2.5,2.5,MENAGE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,SPATULE PATISSERIE MANCHE BOIS
5 COUVERCLES EXTENSIBLES E.1P,1.0,4.9,4.9,MENAGE,2025-07-15,Leclerc,E.Leclerc - Ticket du 15.07.2025.pdf,5 COUVERCLES EXTENSIBLES E.1P
PROTEINES DE SOJA UAD,0.31,15.99,4.96,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Protéines de soja
SARDINE HLE OLIV.HYACINTHE232G,3.0,3.14,9.42,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Sardines (boîte)
FILET MAQUEREAU MOUTARDE 1/3,3.0,2.62,7.86,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Maquereau (boîte)
HACHE VEGETAL BOLOGN.SOJA BIO,3.0,2.46,7.38,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Steak haché végétal
EMINCE VEGGIE SAUCE MEXICAINE,4.0,3.16,12.64,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Émincés végétaux
FLOCONS D'AVOINE BIO 1KG,1.0,3.88,3.88,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Flocons d'avoine
EBLY BLE NAT 10MN 500G,1.0,1.82,1.82,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Blé
BRET'S CHEVRE PIMENT ESPELETE,1.0,1.17,1.17,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Chips / snacks
BRETS ARO PESTO MOZZARELLA,1.0,1.38,1.38,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Mozzarella
RIZ BASMATI 1KG CDG,1.0,2.55,2.55,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Riz basmati
CHOC NOIR 85%CACAO 100G T.D OR,3.0,1.53,4.59,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Chocolat noir 85%
FILET MAQ GRI NAT MSC 1/4 97G P,3.0,1.88,5.64,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Maquereau (boîte)
GRD SSA PARF VARIES 20X90G BV,1.0,6.09,6.09,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,GRD SSA PARF VARIES 20X90G BV
RIZ LONG SEMI COMPLET 500G BV,1.0,2.22,2.22,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Riz semi-complet
CEREALES DE CAMPAGNE TIPIAK330G,1.0,1.93,1.93,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Céréales
BEURRE CACAHUETES CRUNCHY BIO,1.0,3.99,3.99,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Beurre de cacahuètes
LAIT COCO SUZI WAN 200ML,1.0,1.25,1.25,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Lait de coco
LAIT DE COCO ALLEGE SW 200ML,1.0,1.42,1.42,EPICERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Lait de coco
PH BLANC X 6 3PLIS UNIVERT,1.0,2.37,2.37,HYGIENE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Papier toilette
BTE MOUCHOIRS X 80 3 PLIS,1.0,1.26,1.26,HYGIENE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Mouchoirs
* AVOCAT,4.0,1.39,5.56,FRUITS ET LEGUMES,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Avocat
SPECIAL KEBAB 100% VEGETAL 160G,2.0,3.31,6.62,TRAITEUR LIBRE SERVICE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Kebab végétal
STEAK GOURMAND POIVRE/PERSIL 16,1.0,2.57,2.57,TRAITEUR LIBRE SERVICE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Steak végétal
GG LE CLASSIQUE SOJA ET BLE DU,1.0,5.07,5.07,TRAITEUR LIBRE SERVICE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Steaks soja-blé
HOUMMOUS 200G TABLE DU MONDE,2.0,1.49,2.98,SAURISSERIE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Houmous
PETIT YOPLAIT 3.8% X12,1.0,1.89,1.89,ULTRAS FRAIS,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Yaourt Yoplait x12
FROMAGE BLANC NATURE 3%MG 1KG,1.0,1.98,1.98,ULTRAS FRAIS,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Fromage blanc
12 OEUFS PLEIN AIR LNA,2.0,3.64,7.28,ULTRAS FRAIS,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Œufs x12
SOJASUN TONYU NATURE 1 LITRE,2.0,1.52,3.04,CREMERIE LIBRE SERVICE,2026-02-16,Leclerc,E.Leclerc - Ticket du 16.02.2026.pdf,Boisson soja
